id,title,category,sub_category,caption,location,pages,description,keywords,dateNormalized,date,medium,size,creator,collection,provenance
TMI04001,Letter from Gov. McIntire,memorabilia,correspondence,,,,"Pre-Exposition contact. Letter from Colorado Governor McIntire to G. W. Wattles. Sent by McIntire's private secretary, Lester G. Brewer. McIntire will meet with Exposition committee.  1 sheet previously folded in quarters with envelope. Letter written in black ink on cream colored letterhead with red printing. ",,1896-03-26,26 March 1896,manuscript,9 7/8 x 7 15/16 in.,"Brewer, Lester G.",,Omaha Public Library
TMI04002,Letter from Mayor McMurray,memorabilia,correspondence,,,,"Pre-Exposition contact. Letter from Mayor Thomas S. McMurray of Denver, Colorado.  Sent by McMurray's secretary, Arthur Cooper. McMurray will meet with Exposition committee. 1 sheet previously folded in sixths with envelope. Letter typed in green ink on cream colored letterhead with blue printing. Handwritten signature and correction in blue ink.",,1896-03-26,26 March 1896,typescript,8 7/16 x 10 7/8 in.,"Cooper, Arthur",,Omaha Public Library
TMI04003,Letter from Denver Chamber of Commerce,memorabilia,correspondence,,,,"Pre-Exposition contact. Letter from the Denver Chamber of Commerce and Board of Trade.  Sent by director's secretary, M. C. Jackson. Director will meet with Exposition committee. 1 sheet previously folded in sixths with envelope. Letter typed in blue ink on cream colored letterhead with black printing.",,1896-03-26,26 March 1896,typescript,8 3/16 x 10 13/16 in.,"Jackson, M. C.",,Omaha Public Library
TMI04004,Letter  from Church of Jesus Christ of Latter-day Saints,memorabilia,correspondence,,,,"Pre-Exposition contact. Letter from the presidents of the Church of Jesus Christ of Latter-day Saints in Salt Lake City. Letter sent by secretary George Gibbs. Presidents Woodruff, Cannon, and Smith will meet with Exposition committee. 1 sheet previously folded in sixths with envelope. Letter typed in blue ink on cream colored letterhead with black script printing.",,1896-03-23,23 March 1896,typescript,8 1/4 x 10 13/16 in.,"Gibbs, George",,Omaha Public Library
TMI04005,Letter from Gov. Wells,memorabilia,correspondence,,,,Pre-Exposition contact. Letter from Utah Governor Heber Wells. Governor Wells will meet with Exposition committee. 1 sheet previously folded in sixths with envelope. Letter typed in blue ink on cream colored letterhead with black printing.  Signed and corrected in black ink.,,1896-03-23,23 March 1896,typescript,8 x 10 1/2 in.,"Wells, Heber M.",,Omaha Public Library
TMI04006,Letter from Union League Club,memorabilia,correspondence,,,,"Pre-Exposition contact. Notecard from Alexander St. Revell of Union League Club, Chicago, Illinois. Complimentary pass to club and invitation to luncheon with St. Revell. Note sent by St. Revell's secretary, Will S. Clark. Pre-printed pass handwritten note. Printed on cream colored card with black ink.",,1898-12-08,8 December 1898,printed; manuscript,4 11/16 x 3 3/16 in.,"Clark, Will S.",,Omaha Public Library
TMI04007,Letter from Gov. Tanner,memorabilia,correspondence,,,,Pre-Exposition contact. Letter from Illinois Governor John R. Tanner. Tanner will meet with Exposition committee. 1 sheet previously folded in quarters with envelope. Handwritten on cream colored stationary.,,,,manuscript,10 3/4 x 6 13/16 in.,"Tanner, John R.",,Omaha Public Library
TMI04008,History of the Life of Gurdon W. Wattles ,memorabilia,wattles investigation,,,15,Aspersions on character. Document written by G. C. Porter about the character of Gurdon W. Wattles for Omaha Bee newspaper investigation. Accuses Wattles of an extensive history of corrupt business dealings. Typed on cream colored paper. Last page bottom corners torn.,,,,typescript,8 x 11 7/8 in.; 1 page 8 x 8 1/2,"Porter, G. C.",Gurdon W. Wattles,Omaha Public Library
TMI04009,Notarized Document Regarding History of the Life of Gurdon W. Wattles,memorabilia,wattles investigation,,,,"Aspersions on character. Notarized document attesting to the truth of document authored by G. C. Porter regarding the character of Gurdon W. Wattles  for Omaha Bee newspaper investigation. 1 sheet previously folded in quarters. Blue typescript on cream colored paper, signed with black ink. Notarized by H. A. Olegrich.",,1899-05-29,29 May 1899,typescript,8 x 12 15/16 in.,"Porter, G. C.",Gurdon W. Wattles,Omaha Public Library
TMI04010,Gurdon Wattles in Nebraska,memorabilia,wattles investigation,,,10,Aspersions on character. Document written by G. C. Porter regarding character of Gurdon W. Wattles for Omaha Bee newspaper investigation. Typed in blue ink on white paper. 10 sheets previously folded in quarters.,,,,typescript,7 at 8 1/2 x 11 in.; 3 at 8 x 13 in.,"Porter, G. C.",Gurdon W. Wattles,Omaha Public Library
