id,title,category,sub_category,caption,location,pages,description,keywords,dateNormalized,date,medium,size,creator,collection,provenance
TMI00001,"Agriculture Building, Entrance",photographs,grand court,"Entrance, Agriculture Bldg.","Grand Court, North West",,"View of entrance to Agriculture Building looking north across lagoon, with gondola. Man on bicycle, several couples and a single male figure walking. ",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00002,Administration Arch,photographs,grand court,Administration Arch.,"Grand Court, North",,"Administration Arch looking northwest, from south bank of lagoon. Also visible are Agriculture Building to the west, Manufactures Building to the east, and double bridges over lagoon with balustraded island.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00003,"Grand Court, West End",photographs,grand court,"Court, West End","Grand Court, West",,"Liberal Arts, U.S. Government, and Agriculture Buildings, looking northwest. Lagoon with double bridge and balustraded island visible. Light crowd walking. Statuary in courtyard east of Liberal Arts Building.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00004,Grand Court Looking Northeast,photographs,grand court,"Grand Court, Looking N.E.","Grand Court, North",,"Machinery & Electricity Building, Colonnade, and Mines & Mining Building, and corner of Liberal Arts Colonnade looking northeast.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00005,Mining Building and Colonnade,photographs,grand court,Mining Bldg. & Colonnade,"Grand Court, South East",,"View of Mines & Mining Building and Colonnade, with Twin Towers Restaurants and Colonnade in background, looking northeast.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00006,Manufactures Building and Colonnade,photographs,grand court,Collonade.,"Grand Court, North",,"Manufactures Building with Colonnade and statuary, looking north.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00007,Art Room,photographs,exhibits,Sec. Art Room.,"Grand Court, South West",,"Interior view of Fine Arts Building. Section of Art Room, with framed artwork displayed on walls.",exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00008,"Illinois Building, Under Construction",photographs,bluff tract,Illinois Bldg.,"Bluff Tract, North East",,"Construction of Illinois State Building, looking southeast. Three workers pose on roof. Nebraska building visible to the south.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00009,Mines and Mining Building and Colonnade,photographs,grand court,Mines and Mining Bldg.,"Grand Court, South East",,"Mines & Mining Building, looking south. Lagoon in foreground.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00010,Wisconsin Building,photographs,bluff tract,,"Bluff Tract, North West",,"Wisconsin State Building, looking west. A man poses on front steps. Montgomery Ward & Co. visible to the north. ",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
